# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=portuguese,Português Portugal
	ICON=Icons/portugal-portuguese.png
	ORDER=11

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=Renogare,64

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		Este jogo grava automaticamente
	AUTOSAVING_DESC_NS=
		Não desligues a consola
		quando este ícone for exibido
	AUTOSAVING_TITLE_PS4=
		Este jogo grava automaticamente
	AUTOSAVING_DESC_PS4=
		Não desligues a consola
		quando este ícone for exibido
	AUTOSAVING_TITLE_XB1=
		Este jogo grava automaticamente
	AUTOSAVING_DESC_XB1=
		Não desligues a consola
		quando este ícone for exibido
	AUTOSAVING_TITLE_PC=
		Este jogo grava automaticamente
	AUTOSAVING_DESC_PC=
		Não desligues o computador
		quando este ícone for exibido

# Main Menu
	MENU_DEBUG=		~DEBUG~
		[OSHIRO right sidesuspicious]
		{+thought}Como é que ela se atreve a insultar-te assim.{+endthought}

	CH3_OSHIRO_SUITE_SAD2=
		{anchor bottom}
		[OSHIRO right sideworried]
		{+thought}E se ela tiver razão?{+endthought}

	CH3_OSHIRO_SUITE_SAD3=
		{anchor bottom}
		[OSHIRO right sidesuspicious]
		{+thought}Claro que tem razão{n}Não conseguias limpar nada sem a ajuda dela.{+endthought}

	CH3_OSHIRO_SUITE_SAD4=
		{anchor bottom}
		[OSHIRO right lostcontrol]
		{+thought}Eu tentei. Estou a fazer o meu melhor.{+endthought}

	CH3_OSHIRO_SUITE_SAD5=
		{anchor bottom}
		[OSHIRO right serious]
		{+thought}A {+MS_MADELINE} só quis ajudar!{+endthought}

	CH3_OSHIRO_SUITE_SAD6=
		{anchor bottom}
		[OSHIRO right sideworried]
		{+thought}Mas porque é que ela foi tão cruel?{+endthought}

	CH3_OSHIRO_START_CHASE=
		[BADELINE left normal]
		Pensava que nunca iríamos conseguir livrar-nos dele.
		Deves-me uma.

		[BADELINE left scoff]
		Mete essa na lista.
		
		[MADELINE right upset]
		Deixa-me em paz.

		{trigger 0 Maddy walks away}
		
		[BADELINE left upset]
		Pensava que estão {~tãããão{/~} determinada em continuar a escalar.

		[BADELINE left scoff]
		E agora de repente és a psicóloga de um esquisitóide qualquer?

		{trigger 1 Maddy turns around}
		
		[MADELINE right angry]
		Porque é que não vais embora?

		{trigger 2 Oshiro enters}
		
		[OSHIRO left serious]
		{+MS_MADELINE}, antes de ir embora...
		Preciso de lhe perguntar uma coisa...
		
		[OSHIRO left serious]
		Porque é que foi tão simpática comigo, apenas para no fim fugir?
		O que é que fiz de mal?
		
		[BADELINE right scoff]
		Oh, por amor de Deus. Ainda não percebeste?

		[BADELINE right upset]
		Ela só ajuda pessoas para alimentar o seu ego retorcido.
		
		[BADELINE right yell]
		Ela {*}nunca{/*} quis saber de ti.
		
		[MADELINE right angry]
		Cala-te!
		
		[MADELINE right sad]
		Só quis tentar ajudar.
		
		[BADELINE right scoff]
		Vocês são os dois patéticos.

		{trigger 3 Badeline disappears, Oshiro gets angry}

		[OSHIRO left lostcontrol]
		Patético!?
		Só vieste cá para me envergonhar...
		Já não te vou venerar nem por mais um segundo!

	CH3_OSHIRO_CHASE_END=
		{anchor top}
		[MADELINE right surprised]
		{+mroshiro}, pare!

		{trigger 0 Oshiro slams the roof below their feet and it begins shaking}
		
		[MADELINE right surprised]
		Eu só quis tentar ajudar!

	CH3_ENDING=
		[OSHIRO left serious]
		...
		Decidi fechar o hotel para obras.
		A canalização do segundo andar está com fugas...
		...A biblioteca está uma completa bandalheira...
		...já para não falar no buraco no{n}teto da suite presidencial.

		{trigger 0 Turn and pause, turn back}

		[OSHIRO left serious]
		Por favor, deixe-me em paz.


# *** Chapter 04 ***

	CH4_GRANNY_1=
		[MADELINE left upset]
		Oh great, you again.

		{trigger 3 zoom in}
		
		[GRANNY right normal]
		Well well, I didn't expect to see you up here!
		I'm glad you're still in one piece.
		I see you made it through the hotel,{n}did you meet {+mroshiro}?

		{trigger 4 maddy turns around}
		
		[MADELINE left upset flip]
		Oh, I met him alright.
		He chased me out of there.
		After I cleaned up a bunch of junk for him.

		{trigger 0 Start Laughing}
		
		[GRANNY right laugh]
		Oh ho ho, that sounds like a fun morning.

		{trigger 1 Stop Laughing}
		
		[GRANNY right normal]
		{+oshiro} is a lost soul, dear.
		That place is much more than just a hotel to him.
		Don't make him your project.

		{trigger 5 maddy approaches}
		
		[MADELINE left angry]
		You know what I think?
		I think this {+mountain} drove both of you crazy.

		{trigger 2 Wait a beat}
		
		[GRANNY right normal]
		Y'know, you're not the first person to say that.

		{trigger 0 Start Laughing}
		
		[GRANNY right laugh]
		Maybe you're right.
		How would I know if I were crazy?

		{trigger 1 Stop Laughing}
		
		[GRANNY right normal]
		The way I see it, the {+mountain} can't{n}bring out anything that isn't already in you.

		{trigger 0 Start Laughing}
		
		[GRANNY right laugh]
		But you gotta be a few crows short of a murder{n}to live up here in the first place, right?

		{trigger 2 Wait a beat}
		
		[MADELINE left upset]
		What are you even talking about?

		{trigger 1 Stop Laughing}
		
		[GRANNY right mock]
		Oh, I'm just rambling like the old bat I am.

		[GRANNY right normal]
		Are you ready to give up?{n}I know a shortcut back to your car.

		{trigger 6 Maddy walks past granny}
		 
		[MADELINE right upset flip]
		Back off, lady.
		I'm heading for the summit.
		
		[GRANNY left normal flip]
		Sometimes it's hard to tell the difference{n}between stubbornness and determination, isn't it?
		You remind me of myself when I was young.

		{trigger 0 Start Laughing}

		[GRANNY left laugh flip]
		Good luck, and mind the wind!

	CH4_GRANNY_2=
		[MADELINE left upset]
		You don't get many visitors up here, do you?

		[GRANNY right normal]
		No, I can't say I do.
		I don't mind the solitude, though.

		[MADELINE left distracted]
		Sometimes I think I should live in solitude too.

		[MADELINE left sad]
		I really tried to get through to {+mroshiro}.{n}I wanted to help him.

		[GRANNY right normal]
		{+OSHIRO} needs to move on from that hotel.
		But it's not going to happen on your schedule.
		And it doesn't help that you've got something to prove.

		[MADELINE left distracted]
		...

	CH4_GRANNY_3=
		[MADELINE left sad]
		Don't you get lonely in that little cabin?

		[GRANNY right normal]
		I have friends, dear.

		[GRANNY right mock]
		I may be crazy, but I'm not a hermit.

		[MADELINE left distracted]
		Sorry.
		I didn't mean to assume.

		[GRANNY right normal]
		When I was younger I couldn't imagine{n}staying in one place for this long.
		But then I found this {+MOUNTAIN}.
		I knew right away that it would be my home.

		[MADELINE left sad]
		What's so special about it?

		[GRANNY right normal]
		The {+MOUNTAIN} shows you who you really are.
		Whether you're ready for it or not.
		It keeps me honest.

	CH4_GONDOLA=
		{anchor top}
		[UNKNOWN]
		{+MADELINE}! Wait up!

		{trigger 0 Enter Theo from above, he falls and lands on the ground face-down}
		
		[THEO left nailedit]
		{%}{*}N a i l e d    i t .{/*}{/%}

		{trigger 1 Check on Theo}
		
		[MADELINE right sad]
		{+theo}! Are you alright?
		
		[THEO left nailedit]
		Oof. Yeah. 
		Just give me a sec.

		{trigger 2 Theo gets up}
		
		[THEO left excited]
		A gondola! I've always wanted to ride one of these.
		
		[MADELINE right sad]
		It looks pretty old, but maybe it still works.
		
		[MADELINE right distracted]
		I don't see any other way to cross this chasm.
		
		[THEO left excited]
		Let's do it!

		{trigger 3 Look at Lever}
		
		[THEO right normal]
		This lever looks important.

		{trigger 4 Pull Lever}
		
		[THEO right normal]
		Easy every time.

		[THEO right thinking]
		I was probably a gondola operator in a past life.

		[MADELINE left distracted]
		Do you think this thing is safe?

		[THEO right normal]
		I'm sure it's fine.

		{trigger 5 Wait a bit}

		[THEO right normal]
		How'd it shake out with {+oshiro}?

		[MADELINE left sad]
		You were right.

		[MADELINE left distracted]
		I shouldn't have tried to help him.

		[THEO right thinking]
		I hate to say I told you so, but...

		[MADELINE left upset]
		Yeah yeah...
		I should've listened to you.

		[THEO right normal]
		You didn't get hurt, that's what matters.
		
		{trigger 5 Wait a bit}
		
		[MADELINE left sad]
		The air is so thin up here.

		[MADELINE left distracted]
		I can barely breathe.

		{trigger 6 Wait for gondola to reach center}
		
		[THEO right excited flip]
		Okay, if we don't get a selfie on{n}this thing we're going to regret it.

		[MADELINE left distracted flip]
		I can't even see the ground through the mist...
		How high up are we?

		[THEO right thinking flip]
		Less panicking, more posing.

		{trigger 7 Seflie, then gondola stalls out and badeline appears}
		{anchor bottom}
		
		[MADELINE left surprised]
		What was that?
		
		[THEO right wtf flip]
		Huh. Looks like we stalled out.

		{trigger 8 Madeline moves left}
		
		[MADELINE left sad]
		This is really bad...

		[THEO right wtf]
		Maybe if I...

		{trigger 9 lever snaps off}
		
		[THEO right worried]
		Well, that's not good.

		{trigger 10 tentacles appear}
		
		[MADELINE left panic]
		No, this really isn't good.

		{trigger 11 tentacles grow}
		
		[THEO right worried]
		{+MADELINE}, you cool?

		[MADELINE left panic]
		Yeah... I just...

		{trigger 12 Maddy can't breathe}

		[MADELINE left panic]
		No, I'm not cool.
		I can't breathe.
		
		[THEO right serious]
		You're having a panic attack.

		[MADELINE left angry]
		Why would you think it's a good{n}idea to ride this stupid thing?

		[THEO right thinking]
		Come on, don't take this out on me.

		[THEO right serious]
		Stay with me here.
		My grandpa taught me a trick for this.
		Close your eyes.

		{trigger 13 Play breathing minigame}
		
		[THEO right normal]
		See? Easy every time.

		{trigger 14 Gondola continues to the end station}

		{anchor top}
		
		[THEO left normal]
		Feeling any better?
		
		[MADELINE right distracted flip]
		I think so. Thanks for helping me calm down.

		{trigger 15 Wait a bit}
		
		[MADELINE right sad flip]
		How did you know we'd start moving again?
		
		[THEO left normal]
		Oh, I totally thought we were done for.

		{trigger 16 Theo takes out phone}
		
		[THEO left excited]
		Oh. My. God.
		{silent_trigger 17 Maddy faces theo}
		Look at this selfie though!

	CH4_GONDOLA_FEATHER_1=
		Picture a feather floating in front of you.

	CH4_GONDOLA_FEATHER_2=
		See it?

	CH4_GONDOLA_FEATHER_3=
		Okay.
	
	CH4_GONDOLA_FEATHER_4=	
		Your breathing keeps that feather floating.

	CH4_GONDOLA_FEATHER_5=
		Just breathe slow and steady, in and out.

# *** Chapter 05 ***

	CH5_ENTRANCE=
		[THEO right excited flip]
		Oh man, look at this place!
		Feeling adventurous?

		{trigger 0 Maddy turns right}

		[MADELINE left sad]
		Uh, I don't know. 
		It looks pretty dark in there.

		[MADELINE left distracted]
		More like a nightmare than an adventure.

		{trigger 1 Theo turns left}
		
		[THEO right normal]
		I'll just take a quick peek, snap a few photos.

		{trigger 1 Theo turns right}

		[THEO right excited flip]
		This place must be ancient!

		[MADELINE left sad]
		{+THEO}, wait.
		
		[THEO right excited flip]
		My {# FFFF4C}InstaPix{#} followers are gonna eat this up.

		{trigger 2 Theo leaves}
		
		[MADELINE left distracted]
		There's no way this ends well.

	CH5_PHONE=
		[MADELINE left sad]
		Uh oh.

		{trigger 0 Maddy walks to phone, ducks to pick it up}

		[MADELINE left distracted]
		This is {+THEO}'s phone...

		{trigger 1 Maddy stands back up}

		[MADELINE left determinedclosed]
		Don't panic, {+MADELINE}.
		Maybe it just fell out of his pocket.
		I'll give it back to him when I find him.

	CH5_THEO_MIRROR=
		[MADELINE left normal]
		{+theo}! There you are!
		
		[THEO_MIRROR right excited]
		{+MADELINE}! Hey!
		
		[THEO_MIRROR right wtf]
		...uh, why are you inside a mirror?
		
		[MADELINE left sad]
		I'm pretty sure you're the one in the mirror.
		What happened?
		
		[THEO_MIRROR right wtf]
		Well, I was taking a nonchalant mirror selfie...
		Y'know, {~}{# aaaaaa}"It's your boy {+THEO}{# aaaaaa} in this{n}ancient temple, no big deal."{#}{/~}

		[THEO_MIRROR right thinking]
		{# ffff9b}\#blessed{#}
		
		[THEO_MIRROR right serious]
		Next thing I know I wake up lying on the ground.
		
		[MADELINE left sad]
		What does it look like over there?
		How can I find you?
		
		[THEO_MIRROR right serious]
		It's, uh... it's really dark and weird. There's...
		
		[THEO_MIRROR right wtf]
		Wait, something's coming.
		I'm feeling a strong inclination to run away.
		
		[THEO_MIRROR right serious]
		Be careful, okay?

	CH5_SHADOW_MADDY_0=
		[MADELINE left angry]
		{*}Hey!{/*} Where are we?
		{!}What did you do to {+theo}?{/!}
		
		[BADELINE right scoff]
		You think {~}I'm{/~} doing this?
		That's cute.
		
		[BADELINE right upset]
		Sweetheart, this is exactly what I warned you about.
		
	CH5_SHADOW_MADDY_1=
		[MADELINE left angry]
		Don't try to make this my fault.

		[BADELINE right scoff]
		You still don't get it?

		[BADELINE right upset]
		The {+mountain} gave me this body.

		[BADELINE right scoff]
		But I'm not the only {*}creepy thing{/*} living{n}in that messed up head of yours.

		[BADELINE right normal]
		Don't like what you see?

		[BADELINE right scoff]
		{~}What a surprise.{/~}
		
		[MADELINE left angry]
		Shut up!

		[BADELINE right angry]
		I {~}tried{/~} to stop you.

		[BADELINE right yell]
		Look into the mirror, all of this is yours.

		[BADELINE right angry]
		This temple only magnifies the {+mountain}'s power.

		[BADELINE right upset]
		You're in control here, not me.

	CH5_SHADOW_MADDY_2=
		[MADELINE left sad]
		I don't believe you.

		[MADELINE left distracted]
		If you're {+PART_OF_ME}, why do you want to hurt me?

		[BADELINE right angry]
		Poor {+MADELINE}, {~}always the victim.{/~}

		[BADELINE right yell]
		All I do is babysit you, and you hate me for it.

		[BADELINE right angry]
		You're unravelling and you know it. 

		[MADELINE left angry]
		If you care so much about protecting me,{n}why didn't you just {*}explain{/*} what was going on?
		
		[BADELINE right angry]
		Like you would have listened?
		You never gave me a chance.

	CH5_SHADOW_MADDY_3=
		[MADELINE left panic]
		Please, just help me get out of here.

		[BADELINE right scoff]
		{~}Now{/~} you want me to save you?

		[MADELINE left panic]
		Why are you doing this?
		Just be on my side here.
		Please.

		[BADELINE right angry]
		Stop trying to make me feel like a monster.
		You {~}really{/~} want to know why I won't help?

		[BADELINE right yell]
		Because you {*}deserve{/*} this.

		[MADELINE left panic]
		...

		[BADELINE right angry]
		Still think you can {~}climb this {+MOUNTAIN}?{/~}

		[MADELINE left angry]
		{*}SHUT UP!{/*}

		{trigger 0 Badeline Leaves}

		[MADELINE left angry]
		{*}I don't need your help.{/*}
		I'll do this alone.

	CH5_REFLECTION=
		[MADELINE right sad]
		If this is all in my head, why is it so hostile?
		
		[MADELINE right distracted]
		Those {*}things{/*} are hunting me.
		I'm a trespasser in my own world.

		{trigger 0 Madeline falls to knees}
		
		[MADELINE right panic]
		{+theo} is trapped somewhere in here because of me.
		If I give in fully, maybe the temple will let him go...

		{trigger 1 Madeline stops panicking}

		[MADELINE_MIRROR left determinedclosed flip]
		...
		Breathe.
		
		[MADELINE_MIRROR left determined flip]
		This is all coming from inside me.
		Get up, {+MADELINE}.

		{trigger 2 Madeline gets up}

		[MADELINE_MIRROR left determinedclosed flip]
		Think of the feather.
		You can save {+theo}.

	CH5_SEE_THEO=
		[MADELINE left normal]
		{+theo}! Thank God I found you.
		
		[THEO right excited]
		{+MADELINE}! Wow, am I happy to see you.

		{trigger 0 zoom in}

		[MADELINE left sad]
		Are you alright?
		
		[THEO right serious]
		Yeah, I'm fine. 	

		[THEO right thinking]
		I've just been stuck in this... crystal thing for ages.

		[THEO right wtf]
		Do you get the feeling that this place{n}knows you better than you know yourself?
		
		[MADELINE left distracted]
		Yeah...
		I'm so embarrassed that you{n}have to see this side of me.

		[MADELINE left upset]
		I tried to stop you.
		I hope that selfie was worth it.

		[THEO right yolo]
		Selfies are always worth it, dude.

		[MADELINE left distracted]
		I shouldn't be mad, this isn't your fault.

		[MADELINE left sad]
		I'm glad you're safe, but{n}you're trapped because of me.

		{trigger 1 Madeline turns around}

		[MADELINE left distracted flip]
		And now this temple is showing{n}you what I'm really like.
		I'm horrible...

		{trigger 2 wait a bit}

		[THEO right thinking]
		Hey, we're in this together.

		[THEO right wtf]
		Don't act like this is all on you.

		{trigger 3 Madeline turns back, zoom out, room gets brighter}

		[MADELINE left sad]
		What do you mean?

		[THEO right wtf]
		You didn't trap me in this crystal.
		Sure, those monsters are coming from you,{n}but the temple is shaping itself around me too.

		[THEO right worried]
		I can {*}feel{/*} it.
		These {~}eyes{/~} are staring at me...

		[THEO right wtf]
		And this crystal is coming from me, I know it.

		[THEO right serious]
		I hate to ask, but I really need your help right now.

		{trigger 0 zoom back in}

		[MADELINE left sad]
		...
		
		[MADELINE left distracted]
		Okay.

		[MADELINE left normal]
		I've got your back.
		I'll bust you out of that thing,{n}then we'll escape together.

		[MADELINE left sad]
		Just as soon as I find my way around to you...
		
		[THEO right serious]
		{+MADELINE}, you're my only hope right now.
		I believe in you, for real.

		[MADELINE left distracted]
		I hope that's not a mistake.

	CH5_SEE_THEO_B=
		[MADELINE left distracted]
		If the temple is showing me who I really am...

		[MADELINE left sad]
		...then I deserve this, don't I?

		[THEO right wtf]
		{+ALEX}, you have to stop being so hard on yourself.

		[MADELINE left sad]
		...
		Who's {+ALEX}?

		[THEO right thinking]
		Sorry, I meant {+MADELINE}.

		[THEO right wtf]
		But my comment still stands.
		No one deserves this, least of all you.

		[MADELINE left sad]
		Yeah... you're right.

		[MADELINE left determinedclosed]
		Okay, I can do this.

	CH5_FOUND_THEO=
		[MADELINE left normal]
		{+theo}! I finally found you.
		
		[THEO right excited]
		I knew you'd make it!

		[MADELINE left sad]
		It wasn't easy...

		[MADELINE left distracted]
		Are those monsters really coming from inside me?
		
		[THEO right thinking]
		{+MADELINE}, that's a valid question.
		I'll be happy to discuss how the{n}monsters relate to your inner self...

		[THEO right wtf]
		But right now, {~}my{/~} inner self is real{n}sick of being stuck in this crystal.
		
		[MADELINE left sad]
		Oh, right.

		[MADELINE left normal]
		Don't worry, I'll break you out!

		{trigger 0 Attempt to break the crystal, but it just falls to the ground}
		
		[THEO right thinking]
		Well, this is a solid start, but...
		
		[THEO right wtf]
		This crystal is, like, an expression of my{n}negative psychic energy... or whatever.

		[MADELINE left sad]
		Yeah, but how do we break it?

		[THEO right serious]
		If I knew {~}why{/~} I trapped myself in{n}this thing, maybe I could bust out.

		[THEO right wtf]
		But I don't.

		[THEO right thinking]
		And I don't think I can get to the bottom of it{n}while we're stuck in this nightmare dimension.
		
		[THEO right serious]
		I hate to say it, but you might have to-
		
		[MADELINE left angry]
		{+theo}, don't even think about that!
		I am {*}not{/*} leaving you behind!
		
		[THEO right worried]
		{~}Hell no{/~}, you better not leave me in this place!

		[THEO right thinking]
		I was gonna say you might have to carry me.
		
		[MADELINE left sad]
		Oh.
		
		[MADELINE left normal]
		Yeah, I can do that.

	CH5_THEO_SAVING_LIFT=
		[THEO left thinking]
		Dang girl, you can lift.

	CH5_THEO_SAVING_A=
		[THEO left excited]
		{~}Alright{/~}, you got this!

	CH5_THEO_SAVING_NICE=
		[THEO left thinking]
		Crushing it! That door didn't stand a chance.

	CH5_THEO_SAVING_B=
		[THEO left worried]
		Uh oh... I hope you know how to deal with these things.

	CH5_THEO_SAVING_C=
		[THEO left worried]
		Another one!? Come on...

	CH5_THEO_SAVING_SWITCH=
		[THEO left thinking]
		{+theo} saves the day again.

	CH5_THEO_SAVING_DUNK=
		[THEO left nailedit]
		I'm helping.

	CH5_THEO_SAVING_REALLY=
		[THEO left thinking]
		Now you're just showing off.

	CH5_THEO_SAVING_D=
		[THEO left excited]
		We have to be close, I can feel it.

	CH5_THEO_SAVING_E=
		[THEO left worried]
		Just a bit further. You can do this {+MADELINE}.

	CH5_BSIDE_THEO_A=
		[THEO left excited]
		It's the temple remix, featuring your boy {+MIXMASTER_THEO}!

	CH5_BSIDE_THEO_B=
		[THEO left wtf]
		This isn't canon, is it?

	CH5_BSIDE_THEO_C=
		[THEO left wtf]
		Uhh, this one is clearly impossible.

# *** Chapter 06 ***

	CH6_THEO_INTRO=
		[MADELINE right normal]
		{+theo}, you're awake!

		[THEO left thinking]
		Am I? I'm skeptical...

		[THEO left wtf]
		I had a {~}messed up{/~} nightmare.
		
		[MADELINE right distracted]
		Yeah, about that...

		[THEO left wtf]
		Wait...

		[THEO left thinking]
		Oh, yep, it's all coming back to me now.

		[THEO left wtf]
		That actually happened.

		[THEO left serious]
		Thanks for getting us out of there.

		[MADELINE right distracted]
		I'm glad we were in it together.

		[MADELINE right sad]
		I don't know if I could've done that alone.

	CH6_THEO_ASK_OUTFOR=
		[THEO left thinking]
		How long was I out for?
	CH6_THEO_SAY_OUTFOR=
		[THEO left thinking]
		How long was I out for?

		[MADELINE right sad]
		It must've been a few hours...

		[THEO left serious]
		Man, what a ride.

		[MADELINE right upset]
		Tell me about it.

		[MADELINE right sad]
		Are you okay?

		[THEO left thinking]
		I mean, aside from the existential crisis?

		[THEO left wtf]
		Yeah, I'm fine.

	CH6_THEO_ASK_EXPLAIN=
		[THEO left wtf]
		What's really going on here?
	CH6_THEO_SAY_EXPLAIN=
		[THEO left wtf]
		Clearly this isn't a normal {+MOUNTAIN}.
		What's really going on here?

		[MADELINE right sad]
		I should've told you sooner.

		[MADELINE right distracted]
		Back at the old ruins, a...{n}{+PART_OF_ME} escaped from a mirror.
		A part I'm not very proud of.

		[MADELINE right upset]
		I swear I dreamt it.

		[THEO left serious]
		You think the {+MOUNTAIN} made her real?

		[MADELINE right distracted]
		Yeah.
		She's been haunting me the whole time.

		[MADELINE right sad]
		She lashed out at {+MROSHIRO}.

		[MADELINE right distracted]
		I think she was the reason the gondola stalled out.

		[MADELINE right sad]
		And she was there, in the temple.

		[THEO left worried]
		...
		Why didn't you say something?
		I wouldn't have gone into that temple{n}if I knew what this {+MOUNTAIN} was capable of...

		[MADELINE right upset]		
		I tried to stop you.	
		
		[THEO left wtf]
		You could have mentioned that your{n}{+ST_BAD}demon doppelgänger{+END_BAD} was on the loose.
			
		[MADELINE right upset]
		Come on, {+THEO}.
		You know how crazy this sounds.

		[MADELINE right distracted]
		I didn't even believe myself.

		[THEO left wtf]
		Okay, okay.
		I understand.

		[THEO left thinking]
		Next time just {0.3}talk to me, though.
		I promise I'll believe you.

		[MADELINE right distracted]
		Okay.

	CH6_THEO_ASK_THANKYOU=
		[MADELINE right distracted]
		Thank you, for believing in me back there.
	CH6_THEO_SAY_THANKYOU=
		[MADELINE right distracted]
		Thank you, {+THEO}.
		...for believing in me back there, I mean.

		[THEO left wtf]
		Believing in you was the easy part.

		[THEO left thinking]
		I wish I could've helped.

		[THEO left wtf]
		I was pretty useless, stuck in that thing.

		[MADELINE right sad]
		You actually helped a lot.

		[MADELINE right distracted]
		Honestly, I couldn't have made it without your support.

	CH6_THEO_ASK_TRUST=
		[MADELINE right distracted] 
		Why is it so easy for you to trust me?
	CH6_THEO_SAY_TRUST=
		[MADELINE right distracted] 
		Why is it so easy for you to trust me?

		[MADELINE right sad]
		Seriously, you barely know me.

		[THEO left normal]
		Honestly?
		You remind me of my sister.

		[MADELINE right normal]
		That's adorable. 
		What's she like?

		[THEO left excited]
		Oh, you'd love her!

		[THEO left wtf]
		Actually, you might not get along at first...

		[THEO left thinking]
		But you'd eventually love her.

		[THEO left excited]
		She's a {~}literal{/~} rockstar.

		[MADELINE right normal]
		She's a musician?
		That's so cool!

		[THEO left thinking]
		Okay, she's not {~}literally{/~} a literal rockstar.

		[THEO left normal]
		{+ALEX} is just... amazing at everything.
		She's studying to be a civil rights lawyer.

		[MADELINE right normal]
		Wow!

		[MADELINE right distracted]
		How do I remind you of her?

		[THEO left wtf]
		You both live so deep inside your own heads.

		[MADELINE right distracted]
		Oh...

		[THEO left thinking]
		{+ALEX} has this amazing internal compass.

		[THEO left normal]
		It's obvious that she'll get where she needs to be.
		I can see that in you too.

		[THEO left wtf]
		I wish I could say the same for myself.
		
	CH6_THEO_ASK_WHY=
		[MADELINE right distracted]
		Your sister sounds great. I really remind you of her?
	CH6_THEO_SAY_WHY=
		[MADELINE right distracted]
		Your sister sounds great. I really remind you of her?

		[THEO left thinking]
		Are you kidding me?

		[THEO left excited]
		You're the one who's {~}dead set{/~}{n}on climbing this {+MOUNTAIN}.

		[THEO left thinking]
		And you {~}{>> .3}don't even know why.{>>}{/~}

		[THEO left excited]
		That's classic {+ALEX}.

		[MADELINE right distracted]
		...

		[THEO left thinking]
		I'm just teasing you.

		[THEO left normal]
		Why {~}are{/~} you climbing the {+MOUNTAIN}, anyways?

		[MADELINE right distracted]
		You're right, I don't even know why.

		[MADELINE right sad]
		I just{0.4} had to get out of my {*}head.{/*}
		I'm stuck in a cycle.

		[THEO left normal]
		You're preaching to the choir here.
		I've had many a soul-destroying day job.

		[MADELINE right sad]
		Work is fine actually, I just...

		[MADELINE right distracted]
		...

		[MADELINE right upset]
		I'm going crazy.
		I can't stop thinking about{n}dumb crap that doesn't matter.

		[MADELINE right sad]
		My brain fixates on these stupid {.4}{>> .3}{*}things{/*}{>>}{.4}{n}that happened forever ago.

		[MADELINE right angry]
		I should be {*}over them.{/*} 
		{*}None of it even matters.{/*}

		{trigger 0 Wait a bit}

		[MADELINE right distracted]
		...
		I'm good at keeping up appearances, but{n}the truth is I'm barely holding it together.

		[THEO left worried]
		I'm sorry, that's pretty rough stuff.
		Can I help?

		[MADELINE right sad]
		You're already helping.
		It feels good to say it out loud.

		[THEO left wtf]
		You don't talk to anyone about it?

		[MADELINE right distracted]
		No... not really.

		[MADELINE right sad]
		My mom knows I get depressed,{n}and have panic attacks.

		[MADELINE right distracted]
		That's about it.

		[THEO left thinking]
		No wonder you feel trapped.
		
		[THEO left wtf]
		How do you cope with... anything?

		[MADELINE right upset]
		I drink, mostly.
		And get mad at people on the internet.

	CH6_THEO_ASK_DEPRESSION=
		[THEO left serious]
		Would you mind talking about what depression is like?
	CH6_THEO_SAY_DEPRESSION=
		[THEO left serious]
		Would you mind talking about what depression is like?

		[MADELINE right distracted]
		...

		[MADELINE right upset]
		It sucks.

		[THEO left wtf]
		Yeah, but what does it {~}feel like?{/~}

		[THEO left serious]
		{+ALEX} struggles with it too.{n}I really want to understand.

		[THEO left normal]
		We can talk about something else if you want.

		[MADELINE right distracted]
		...
		It's like...

		[MADELINE right sad]
		I'm at the bottom of the ocean.
		I can't see anything in any direction.

		[MADELINE right distracted]
		It's claustrophobic, yet I feel exposed.
		...

		{trigger 0 Wait a bit}

		[MADELINE right sad]
		I remember feeling normal.
		But now it feels just out of{n}reach, no matter what I try.
		
		[MADELINE right distracted]
		Then again, I was probably always messed up.
		It just took something hurtful to bring it out.

		[MADELINE right upset]
		There must be something wrong with me.

		[THEO left serious]
		Whatever happened, I'm sure it's not your fault.

		{trigger 0 Wait a bit}

		[MADELINE right sad]
		I guess I thought that I could...

